Country Name,Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,Adjusted savings: natural resources depletion (% of GNI) ,CO2 emissions (metric tons per capita) ,Energy use (kg of oil equivalent per capita) ,Forest area (% of land area) ,Agricultural land (% of land area) ,GDP growth (annual %) ,Net migration ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ",Population density (people per sq. km of land area) ,Renewable energy consumption (% of total final energy consumption) ,Tree Cover Loss (hectares) 
Uganda,0.8,8.9,14.33594601,0.07242386799,686.0273637,14.79748261,66.3730544,6.332565116,-151432,36.4345178,139.8658125,94.11,29172
Ukraine,93.3,99.8855617,1.030393576,6.271184113,3033.182323,16.4468915,71.28999965,3.071230392,-4936,18.99706651,81.30272188,1.27,36558
United Arab Emirates,100,100,5.938717272,27.2025439,10394.30034,4.412348634,7.842861166,4.855141196,339380,43.18399077,60.27869614,0.11,378686
United Kingdom,100,100,0.7424815861,8.955400659,3686.359905,12.42714835,70.08638862,2.738842404,261300,13.33739937,249.6639772,1.35,8873
United States,100,100,0.9651255736,19.46927252,7846.499688,33.41308372,45.0712951,3.48322032,1129462,10.91341302,32.2548766,5.84,2691544
Uruguay,100,98.04740906,0.09545615481,1.632413158,891.3368288,8.856987773,84.74460062,7.46013213,-16092,9.082839158,18.95591932,41.32,15919
Uzbekistan,84.7,99.4496994,10.30851392,4.554977644,1799.40318,7.239962694,60.80775681,6.950007196,-33395,31.30170584,60.03684762,1.62,21
Vanuatu,14.7,31.02155304,0.6089203197,0.2830466108,137.8473754,36.28383921,15.01230517,5.305326473,-448,12.48759874,17.8533224,65.38,254
"Venezuela, RB",97.1,98.77675629,10.22764316,5.52610102,2111.261162,54.79054475,24.48273907,10.3179138,-18400,20.93139471,30.23500368,14.23,94967
Viet Nam,29.1,96.1,6.974663543,1.110972727,496.1595327,40.23206974,32.13846188,7.547247729,-144080,26.45818252,265.7680997,44.15,102211
